cohort_number,start_date,source,notes
562,1/5/2026,,
563,2/9/2026,,
564,3/16/2026,,
565,4/20/2026,,
566,5/18/2026,2026-cycle,UDT566/NDT566/NDT566NC all start this day
567,6/29/2026,2026-cycle,UDT567/NDT567 (no NC at odd numbers)
568,8/3/2026,2026-cycle,UDT568/NDT568/NDT568NC
569,9/8/2026,2026-cycle,UDT569/NDT569
570,10/13/2026,2026-cycle,UDT570/NDT570/NDT570NC
571,11/16/2026,2026-cycle,UDT571/NDT571
572,1/4/2027,2027-cycle,UDT572/NDT572/NDT572NC
573,2/8/2027,2027-cycle,UDT573/NDT573
574,3/15/2027,2027-cycle,UDT574/NDT574/NDT574NC
575,4/19/2027,2027-cycle,UDT575/NDT575
